name	location
E/MB-8/Belgium/2008/IvoryCoast	Africa
E/MB-13/Belgium/2008/Guinea	Africa
E/MB-15/Belgium/2009/Guinea	Africa
E/MB-20/Belgium/2009/Congo	Africa
E/MB-23/Belgium/2009/Rwanda	Africa
E/MB-24/Belgium/2009/Guinea	Africa
E/MB-26/Belgium/2009/Guinea	Africa
E/MB-28/Belgium/2009/Rwanda	Africa
E/MB-30/Belgium/2008/Cameroon	Africa
E/MB-36/Belgium/2009/Congo	Africa
E/MB-37/Belgium/2009/Burundi	Africa
E/MB-39/Belgium/2009/Guinea	Africa
E/MB-40/Belgium/2008/Cameroon	Africa
E/MB-41/Belgium/2008/Mauritania	Africa
E/MB-43/Belgium/2009/Niger	Africa
E/MB-50/Belgium/2008/Niger	Africa
E/MB-51/Belgium/2009/Guinea	Africa
E/MB-54/Belgium/2009/Nigeria	Africa
E/MB-59/Belgium/2006/Cameroon	Africa
E/MB-61/Belgium/2006/Congo	Africa
E/MB-75/Belgium/2007/Guinea	Africa
E/MB-77/Belgium/2007/Ghana	Africa
E/MB-78/Belgium/2007/Congo	Africa
E/MB-79/Belgium/2008/IvoryCoast	Africa
E/MB-82/Belgium/2007/Guinea	Africa
E/MB-83/Belgium/2007/Guinea	Africa
E/MB-93/Belgium/2007/Congo	Africa
E/MB-97/Belgium/2009/Guinea	Africa
E/MB-99/Belgium/2008/Nigeria	Africa
E/MB-101/Belgium/2006/Cameroon	Africa
E/MB-102/Belgium/2009/Guinea	Africa
E/MB-104/Belgium/2008/Congo	Africa
E/MB-108/Belgium/2008/Mauritania	Africa
E/MB-109/Belgium/2008/Mauritania	Africa
E/MB-115/Belgium/2008/Guinea	Africa
E/MB-117/Belgium/2009/Cameroon	Africa
E/MB-118/Belgium/2008/Guinea	Africa
E/MB-122/Belgium/2009/Congo	Africa
E/MB-129/Belgium/2007/Ghana	Africa
E/MB-134/Belgium/2009/Congo	Africa
E/MB-136/Belgium/2010/IvoryCoast	Africa
E/MB-143/Belgium/2010/Guinea	Africa
E/MB-148/Belgium/2010/Niger	Africa
E/MB-6/Belgium/2008/Niger	Africa
E/MB-19/Belgium/2009/Guinea	Africa
E/MB-21/Belgium/2009/Guinea	Africa
E/MB-25/Belgium/2009/Mauritania	Africa
E/MB-29/Belgium/2009/Congo	Africa
E/MB-44/Belgium/2009/Ghana	Africa
E/MB-53/Belgium/2009/Rwanda	Africa
E/MB-57/Belgium/2008/Congo	Africa
E/MB-65/Belgium/2006/Cameroon	Africa
E/MB-68/Belgium/2006/IvoryCoast	Africa
E/MB-69/Belgium/2006/Mauritania	Africa
E/MB-70/Belgium/2006/Guinea	Africa
E/MB-74/Belgium/2007/Ivorycoast	Africa
E/MB-76/Belgium/2007/Guinea	Africa
E/MB-80/Belgium/2007/Cameroon	Africa
E/MB-85/Belgium/2007/Mauritania	Africa
E/MB-87/Belgium/2007/Cameroon	Africa
E/MB-91/Belgium/2007/Rwanda	Africa
E/MB-111/Belgium/2009/BurkinaFaso	Africa
E/MB-126/Belgium/2007/Zimbabwe	Africa
E/MB-141/Belgium/2010/Mozambique	Africa
E/57a/Belgium/2002/Belgium	Europe
E/G196-1/Belgium/1996/Belgium	Europe
E/KF849713/Angola/2007/Angola	Africa
E/KF849714/Angola/2007/Angola	Africa
E/KF849715/Angola/2007/Angola	Africa
E/KF849716/Angola/2007/Angola	Africa
E/KF849717/Angola/2007/Angola	Africa
E/KF849718/Angola/2007/Angola	Africa
E/KF849719/Angola/2007/Angola	Africa
E/KF849720/Angola/2007/Angola	Africa
E/KF849721/Angola/2007/Angola	Africa
E/KF849722/Angola/2007/Angola	Africa
E/KF849723/Angola/2007/Angola	Africa
E/KF849724/Angola/2007/Angola	Africa
E/KF849725/Angola/2007/Angola	Africa
E/KF849726/Angola/2007/Angola	Africa
E/KF849727/Angola/2007/Angola	Africa
E/KF849728/Angola/2007/Angola	Africa
E/KF170741/Sudan/2008/Sudan	Africa
E/KF170742/Sudan/2008/Sudan	Africa
E/JQ023664/Colombia/2007/Colombia	Americas
E/JQ023665/Colombia/2007/Colombia	Americas
E/GU563552/Belgium/2003/Belgium	Europe
E/HM363565/Nigeria/2007/Nigeria	Africa
E/HM363566/Nigeria/2007/Nigeria	Africa
E/HM363567/Nigeria/2007/Nigeria	Africa
E/HM363568/Nigeria/2007/Nigeria	Africa
E/HM363569/Nigeria/2007/Nigeria	Africa
E/HM363570/Nigeria/2007/Nigeria	Africa
E/HM363571/Nigeria/2007/Nigeria	Africa
E/HM363572/Nigeria/2007/Nigeria	Africa
E/HM363573/Nigeria/2007/Nigeria	Africa
E/HM363574/Nigeria/2007/Nigeria	Africa
E/HM363575/Nigeria/2007/Nigeria	Africa
E/HM363576/Nigeria/2007/Nigeria	Africa
E/HM363577/Nigeria/2007/Nigeria	Africa
E/HM363578/Nigeria/2007/Nigeria	Africa
E/HM363579/Nigeria/2007/Nigeria	Africa
E/HM363580/Nigeria/2007/Nigeria	Africa
E/HM363581/Nigeria/2007/Nigeria	Africa
E/HM363582/Nigeria/2007/Nigeria	Africa
E/HM363583/Nigeria/2007/Nigeria	Africa
E/HM363584/Nigeria/2007/Nigeria	Africa
E/HM363585/Nigeria/2007/Nigeria	Africa
E/HM363586/Nigeria/2007/Nigeria	Africa
E/HM363587/Nigeria/2007/Nigeria	Africa
E/HM363588/Nigeria/2007/Nigeria	Africa
E/HM363589/Nigeria/2007/Nigeria	Africa
E/HM363590/Nigeria/2007/Nigeria	Africa
E/HM363591/Nigeria/2007/Nigeria	Africa
E/HM363592/Nigeria/2007/Nigeria	Africa
E/HM363593/Nigeria/2007/Nigeria	Africa
E/HM363594/Nigeria/2007/Nigeria	Africa
E/HM363595/Nigeria/2007/Nigeria	Africa
E/HM363596/Nigeria/2007/Nigeria	Africa
E/HM363597/Nigeria/2007/Nigeria	Africa
E/HM363598/Nigeria/2007/Nigeria	Africa
E/HM363599/Nigeria/2007/Nigeria	Africa
E/HM363600/Nigeria/2007/Nigeria	Africa
E/HM363601/Nigeria/2007/Nigeria	Africa
E/HM363602/Nigeria/2007/Nigeria	Africa
E/HM363603/Nigeria/2007/Nigeria	Africa
E/HM363604/Nigeria/2007/Nigeria	Africa
E/HM363605/Nigeria/2007/Nigeria	Africa
E/HM363607/Nigeria/2007/Nigeria	Africa
E/HM363608/Nigeria/2007/Nigeria	Africa
E/HM363609/Nigeria/2007/Nigeria	Africa
E/HM363610/Nigeria/2007/Nigeria	Africa
E/HM363611/Nigeria/2007/Nigeria	Africa
E/FN545821/Nigeria/2005/Nigeria	Africa
E/FN545822/Nigeria/2005/Nigeria	Africa
E/FN545823/Nigeria/2005/Nigeria	Africa
E/FN545824/Nigeria/2005/Nigeria	Africa
E/FN545827/Cameroon/2005/Cameroon	Africa
E/FN545841/Cameroon/2007/Cameroon	Africa
E/FN545842/Cameroon/2007/Cameroon	Africa
E/FJ349226/Belgium/1995/Belgium	Europe
E/FJ349227/Belgium/1998/Belgium	Europe
E/FJ349237/Belgium/2005/Belgium	Europe
E/FJ349238/Belgium/2007/Belgium	Europe
E/FJ349239/Belgium/2007/Belgium	Europe
E/FJ349240/Belgium/2007/Belgium	Europe
E/GQ161755/Guinea/2006/Guinea	Africa
E/GQ161756/Guinea/2006/Guinea	Africa
E/GQ161757/Guinea/2006/Guinea	Africa
E/GQ161758/Guinea/2006/Guinea	Africa
E/GQ161759/Guinea/2006/Guinea	Africa
E/GQ161760/Guinea/2006/Guinea	Africa
E/GQ161761/Guinea/2006/Guinea	Africa
E/GQ161762/Guinea/2006/Guinea	Africa
E/GQ161763/Guinea/2006/Guinea	Africa
E/GQ161764/Guinea/2006/Guinea	Africa
E/GQ161765/Guinea/2006/Guinea	Africa
E/GQ161766/Guinea/2006/Guinea	Africa
E/GQ161768/Guinea/2006/Guinea	Africa
E/GQ161769/Guinea/2006/Guinea	Africa
E/GQ161770/Guinea/2006/Guinea	Africa
E/GQ161771/Guinea/2006/Guinea	Africa
E/GQ161772/Guinea/2006/Guinea	Africa
E/GQ161773/Guinea/2006/Guinea	Africa
E/GQ161774/Guinea/2006/Guinea	Africa
E/GQ161776/Guinea/2006/Guinea	Africa
E/GQ161777/Guinea/2006/Guinea	Africa
E/GQ161778/Guinea/2006/Guinea	Africa
E/GQ161779/Guinea/2006/Guinea	Africa
E/GQ161780/Guinea/2006/Guinea	Africa
E/GQ161781/Guinea/2006/Guinea	Africa
E/GQ161782/Guinea/2006/Guinea	Africa
E/GQ161783/Guinea/2006/Guinea	Africa
E/GQ161784/Guinea/2006/Guinea	Africa
E/GQ161785/Guinea/2006/Guinea	Africa
E/GQ161786/Guinea/2006/Guinea	Africa
E/GQ161787/Guinea/2006/Guinea	Africa
E/GQ161789/Guinea/2006/Guinea	Africa
E/GQ161790/Guinea/2006/Guinea	Africa
E/GQ161791/Guinea/2006/Guinea	Africa
E/GQ161792/Guinea/2006/Guinea	Africa
E/GQ161793/Guinea/2006/Guinea	Africa
E/GQ161794/Guinea/2006/Guinea	Africa
E/GQ161795/Guinea/2006/Guinea	Africa
E/GQ161796/Guinea/2006/Guinea	Africa
E/GQ161797/Guinea/2006/Guinea	Africa
E/GQ161798/Guinea/2006/Guinea	Africa
E/GQ161799/Guinea/2006/Guinea	Africa
E/GQ161800/Guinea/2006/Guinea	Africa
E/GQ161801/Guinea/2006/Guinea	Africa
E/GQ161802/Guinea/2006/Guinea	Africa
E/GQ161803/Guinea/2006/Guinea	Africa
E/GQ161804/Guinea/2006/Guinea	Africa
E/GQ161805/Guinea/2006/Guinea	Africa
E/GQ161807/Guinea/2006/Guinea	Africa
E/GQ161808/Guinea/2006/Guinea	Africa
E/GQ161809/Guinea/2006/Guinea	Africa
E/GQ161810/Guinea/2006/Guinea	Africa
E/GQ161811/Guinea/2006/Guinea	Africa
E/GQ161812/Guinea/2006/Guinea	Africa
E/GQ161814/Guinea/2006/Guinea	Africa
E/GQ161815/Guinea/2006/Guinea	Africa
E/GQ161816/Guinea/2006/Guinea	Africa
E/GQ161817/Guinea/2006/Guinea	Africa
E/GQ161818/Guinea/2006/Guinea	Africa
E/GQ161819/Guinea/2006/Guinea	Africa
E/GQ161820/Guinea/2006/Guinea	Africa
E/GQ161821/Guinea/2006/Guinea	Africa
E/GQ161822/Guinea/2006/Guinea	Africa
E/GQ161823/Guinea/2006/Guinea	Africa
E/GQ161824/Guinea/2006/Guinea	Africa
E/GQ161825/Guinea/2006/Guinea	Africa
E/GQ161826/Guinea/2006/Guinea	Africa
E/GQ161827/Guinea/2006/Guinea	Africa
E/GQ161828/Guinea/2006/Guinea	Africa
E/GQ161829/Guinea/2006/Guinea	Africa
E/GQ161830/Guinea/2006/Guinea	Africa
E/GQ161831/Guinea/2006/Guinea	Africa
E/GQ161832/Guinea/2006/Guinea	Africa
E/GQ161833/Guinea/2006/Guinea	Africa
E/GQ161834/Guinea/2006/Guinea	Africa
E/GQ161835/Guinea/2006/Guinea	Africa
E/GQ161836/Guinea/2006/Guinea	Africa
E/AY738147/Congo/1998/Congo	Africa
E/AY738146/Congo/1998/Congo	Africa
E/AY738145/Congo/1998/Congo	Africa
E/AY738144/Congo/1998/Congo	Africa
E/AB194948/Cameroon/1994/Cameroon	Africa
E/AB194947/Cameroon/1994/Cameroon	Africa
E/AB205192/Ghana/2000/Ghana	Africa
E/AB205191/Ghana/2000/Ghana	Africa
E/AB205190/Ghana/2000/Ghana	Africa
E/AB205189/Ghana/2000/Ghana	Africa
E/AB205188/Ghana/2000/Ghana	Africa
